"ID of id","ID of directive"
932,40267
932,40268
932,40269
932,40270
932,40271
932,40272
932,40273
932,40274
932,40275
932,40277
932,40278
932,40279
932,40280
932,40281
932,40282
932,40283
932,40284
932,40286
932,40287
932,40288
932,40289
932,40290
932,40291
932,40293
932,40295
932,40296
932,40298
932,40299
932,40300
932,40301
932,40302
932,40303
932,40304
932,40305
932,40306
932,40308
932,40309
932,40311
932,40312
932,40314
932,40316
932,40317
932,40319
932,40321
932,40323
932,40325
932,40327
932,40329
932,40330
932,40332
932,40334
932,40336
932,40338
932,40340
932,40342
932,40345
932,40347
932,40358
932,40360
932,40362
932,40369
932,40371
932,40373
932,40374
932,40377
932,40378
932,40386
932,40390
932,40392
932,40394
932,40396
932,40398
932,40400
932,40402
932,40406
932,40407
932,40408
932,40413
932,40414
932,40417
932,40419
932,40420
932,40421
932,40422
932,40423
932,40425
932,40428
932,40430
932,40432
932,40436
932,40438
932,40439
932,40441
932,40443
932,40444
932,40446
932,40448
932,40451
932,40454
932,40456
932,40458
932,40461
932,40463
932,40466
932,40468
932,40470
932,40472
932,40473
932,40477
932,40479
932,40481
932,40483
932,40485
932,40487
932,40490
932,40493
932,40495
932,40496
932,40498
932,40500
932,40502
932,40504
932,40506
932,40507
932,40509
932,40510
932,40512
932,40514
932,40516
932,40518
932,40520
932,40522
932,40523
932,40524
932,40526
932,40527
932,40529
932,40531
932,40533
932,40535
932,40537
932,40539
932,40541
932,40543
932,40545
932,40547
932,40549
932,40551
932,40553
932,40555
932,40557
932,40558
932,40559
