"ID of id","ID of target"
40267,7407
40268,947
40269,13451
40270,7898
40271,13778
40272,3287
40273,17712
40274,7676
40275,9584
40277,40276
40278,19025
40279,19503
40280,20149
40281,20170
40282,21202
40283,21533
40284,21549
40286,40285
40287,21727
40288,21308
40289,22095
40290,22227
40291,22680
40293,40292
40295,40294
40296,22764
40298,40297
40299,22928
40300,23457
40301,25155
40302,22999
40303,26006
40304,926
40305,9793
40306,32845
40308,40307
40309,982
40311,40310
40312,33316
40314,40313
40316,40315
40317,1006
40319,40318
40321,40320
40323,40322
40325,40324
40327,40326
40329,40328
40330,34168
40332,40331
40334,40333
40336,40335
40338,40337
40340,40339
40342,40341
40345,40344
40347,34292
40358,40357
40360,34359
40362,34560
40369,40368
40371,40370
40373,40372
40374,34611
40377,40376
40378,34626
40386,37656
40390,40389
40392,40391
40394,40393
40396,40395
40398,40397
40400,40399
40402,40401
40406,40405
40407,7668
40408,37750
40413,40412
40414,38039
40417,40416
40419,40418
40420,38137
40421,38342
40422,35700
40423,39380
40425,40424
40428,40427
40430,40429
40432,40431
40436,40435
40438,40437
40439,39516
40441,40440
40443,40442
40444,39523
40446,40445
40448,40447
40451,40450
40454,40453
40456,40455
40458,40457
40461,40460
40463,40462
40466,40465
40468,40467
40470,40469
40472,40471
40473,39992
40477,40476
40479,40478
40481,40480
40483,40482
40485,40484
40487,40486
40490,40489
40493,40492
