"ID of id","nodeName"
68,""
926,"java.util"
947,"java.lang"
982,"java.util.function"
1006,"java.util.stream"
2508,"ConvertVariableAccessName"
3287,"java.lang.invoke"
3731,"org.junit"
7407,"java.io"
7668,"jdk.internal.ref"
7676,"java.lang.ref"
7898,"java.lang.constant"
9584,"java.lang.reflect"
9793,"java.util.concurrent"
13451,"java.lang.annotation"
13778,"java.lang.foreign"
17712,"java.lang.module"
19025,"java.math"
19503,"java.net"
20149,"java.net.spi"
20170,"java.nio"
21202,"java.nio.channels"
21308,"java.nio.file.attribute"
21533,"java.nio.channels.spi"
21549,"java.nio.charset"
21727,"java.nio.file"
22095,"java.nio.file.spi"
22227,"java.security"
22680,"java.security.cert"
22764,"java.text"
22928,"java.time"
22999,"java.time.temporal"
23457,"java.time.chrono"
25155,"java.time.format"
26006,"java.time.zone"
32845,"java.util.concurrent.atomic"
33316,"java.util.random"
34168,"javax.security.auth"
34283,"jdk.internal"
34292,"jdk.internal.access"
34350,"jdk.internal.access.foreign"
34359,"jdk.internal.foreign"
34560,"jdk.internal.javac"
34611,"jdk.internal.loader"
34626,"jdk.internal.misc"
35700,"jdk.internal.vm.vector"
37656,"jdk.internal.module"
37750,"jdk.internal.reflect"
38039,"jdk.internal.util.random"
38137,"jdk.internal.vm"
38342,"jdk.internal.vm.annotation"
39374,"sun.invoke.empty"
39380,"sun.invoke.util"
39516,"sun.nio.ch"
39523,"sun.reflect.annotation"
39542,"sun.reflect.generics.factory"
39577,"sun.reflect.generics.repository"
39645,"sun.reflect.generics.tree"
39650,"sun.reflect.generics.visitor"
39992,"sun.security.util"
40022,"sun.util.locale"
40276,"java.lang.runtime"
40285,"java.nio.charset.spi"
40292,"java.security.interfaces"
40294,"java.security.spec"
40297,"java.text.spi"
40307,"java.util.concurrent.locks"
40310,"java.util.jar"
40313,"java.util.regex"
40315,"java.util.spi"
40318,"java.util.zip"
40320,"javax.crypto"
40322,"javax.crypto.interfaces"
40324,"javax.crypto.spec"
40326,"javax.net"
40328,"javax.net.ssl"
40331,"javax.security.auth.callback"
40333,"javax.security.auth.login"
40335,"javax.security.auth.spi"
40337,"javax.security.auth.x500"
40339,"javax.security.cert"
40341,"com.sun.crypto.provider"
40344,"com.sun.security.ntlm"
40357,"jdk.internal.event"
40368,"jdk.internal.jimage"
40370,"jdk.internal.jimage.decompressor"
40372,"jdk.internal.jmod"
40376,"jdk.internal.logger"
40389,"jdk.internal.org.objectweb.asm"
40391,"jdk.internal.org.objectweb.asm.commons"
40393,"jdk.internal.org.objectweb.asm.tree"
40395,"jdk.internal.org.objectweb.asm.util"
40397,"jdk.internal.org.xml.sax"
40399,"jdk.internal.org.xml.sax.helpers"
40401,"jdk.internal.perf"
40405,"jdk.internal.platform"
40412,"jdk.internal.util.jar"
40416,"jdk.internal.util.xml"
40418,"jdk.internal.util.xml.impl"
40424,"sun.net"
40427,"sun.net.dns"
40429,"sun.net.ext"
40431,"sun.net.util"
40435,"sun.net.www"
40437,"sun.net.www.protocol.http"
40440,"sun.nio.cs"
40442,"sun.nio.fs"
40445,"sun.reflect.generics.reflectiveObjects"
40447,"sun.reflect.misc"
40450,"sun.security.action"
40453,"sun.security.internal.interfaces"
40455,"sun.security.internal.spec"
40457,"sun.security.jca"
40460,"sun.security.pkcs"
40462,"sun.security.provider"
40465,"sun.security.provider.certpath"
40467,"sun.security.rsa"
40469,"sun.security.timestamp"
40471,"sun.security.tools"
40476,"sun.security.util.math"
40478,"sun.security.util.math.intpoly"
40480,"sun.security.validator"
40482,"sun.security.x509"
40484,"sun.util.cldr"
40486,"sun.util.locale.provider"
40489,"sun.util.logging"
40492,"sun.util.resources"
