"ID of id","serviceInterface"
40495,"java.lang.System$LoggerFinder"
40496,"java.net.ContentHandlerFactory"
40498,"java.net.spi.InetAddressResolverProvider"
40500,"java.net.spi.URLStreamHandlerProvider"
40502,"java.nio.channels.spi.AsynchronousChannelProvider"
40504,"java.nio.channels.spi.SelectorProvider"
40506,"java.nio.charset.spi.CharsetProvider"
40507,"java.nio.file.spi.FileSystemProvider"
40509,"java.nio.file.spi.FileTypeDetector"
40510,"java.security.Provider"
40512,"java.text.spi.BreakIteratorProvider"
40514,"java.text.spi.CollatorProvider"
40516,"java.text.spi.DateFormatProvider"
40518,"java.text.spi.DateFormatSymbolsProvider"
40520,"java.text.spi.DecimalFormatSymbolsProvider"
40522,"java.text.spi.NumberFormatProvider"
40523,"java.time.chrono.AbstractChronology"
40524,"java.time.chrono.Chronology"
40526,"java.time.zone.ZoneRulesProvider"
40527,"java.util.random.RandomGenerator"
40529,"java.util.spi.CalendarDataProvider"
40531,"java.util.spi.CalendarNameProvider"
40533,"java.util.spi.CurrencyNameProvider"
40535,"java.util.spi.LocaleNameProvider"
40537,"java.util.spi.ResourceBundleControlProvider"
40539,"java.util.spi.ResourceBundleProvider"
40541,"java.util.spi.TimeZoneNameProvider"
40543,"java.util.spi.ToolProvider"
40545,"javax.security.auth.spi.LoginModule"
40547,"jdk.internal.logger.DefaultLoggerFinder"
40549,"sun.text.spi.JavaTimeDateTimePatternProvider"
40551,"sun.util.locale.provider.LocaleDataMetaInfo"
40553,"sun.util.resources.LocaleData$CommonResourceBundleProvider"
40555,"sun.util.resources.LocaleData$SupplementaryResourceBundleProvider"
40557,"sun.util.spi.CalendarProvider"
