"ID of id","nodeName","kind"
979,"? super T",2
991,"? super Integer",2
1036,"?",1
1044,"? super E",2
1061,"? extends E",1
1067,"? extends Integer",1
1137,"? extends E",1
1191,"? extends E",1
1373,"? super E",2
1412,"? extends E",1
1494,"? extends E",1
1546,"? super E",2
1628,"? extends E",1
3276,"? extends Dog",1
3296,"? extends Object",1
6416,"? extends S",1
6506,"? super String",2
6531,"? extends String",1
9503,"? extends Annotation",1
9547,"? extends U",1
9710,"? super T",2
10051,"? extends K",1
10053,"? extends V",1
10077,"? extends K",1
10079,"? extends V",1
10241,"? super V",2
10243,"? extends V",1
10254,"? super Entry<?>",2
10256,"? extends Entry<?>",1
10267,"? super K",2
10274,"? super Identity",2
10376,"? extends K",1
10381,"? extends Identity",1
10443,"? extends K",1
10445,"? extends V",1
10492,"? super K",2
10495,"? super V",2
10497,"? extends V",1
10540,"? extends K",1
10680,"? super T",2
10689,"? super Version<T>",2
10731,"? super T",2
12124,"? super StackFrame",2
12138,"? super Stream<StackFrame>",2
12140,"? extends T",1
12268,"? extends R",1
12287,"? extends CharSequence",1
13588,"? extends ConstantDesc",1
14814,"? extends T",1
14823,"? extends BoundMethodHandle",1
16404,"? extends Throwable",1
18257,"? super T",2
18290,"? extends T",1
18293,"? super Reference<? extends T>",2
18331,"? super T",2
21235,"? super A",2
21247,"? super A",2
21268,"? super A",2
21278,"? super A",2
21297,"? extends OpenOption",1
21783,"? super T",2
21807,"? extends FileAttributeView",1
21896,"? super Path",2
22564,"? super Object",2
22687,"? extends Certificate",1
22793,"? extends Attribute",1
24977,"? extends ChronoLocalDate",1
26202,"? super E",2
26247,"? super E",2
26371,"? super V",2
26379,"? super K",2
26444,"? super E",2
26469,"? extends E",1
26521,"? extends E",1
26664,"? extends E",1
26874,"? super T",2
26886,"? super T",2
26992,"? super T",2
27004,"? super T",2
27017,"? super T",2
27035,"? super T",2
27269,"? extends T",1
27280,"? extends T",1
27382,"? extends T[]",1
27430,"? extends T[]",1
27525,"? super T",2
27537,"? super T",2
27643,"? super T",2
27655,"? super T",2
27789,"? super T",2
27800,"? super T",2
27819,"? super T",2
27830,"? super T",2
27837,"? super T",2
27852,"? super T",2
27985,"? super T",2
28285,"? extends V",1
28296,"? extends V",1
28305,"? extends K",1
28307,"? extends V",1
28316,"? extends T",1
28342,"? extends T",1
28352,"? extends T",1
28376,"? extends T",1
28381,"? super T",2
28389,"? super T",2
28393,"? extends T",1
28400,"? extends T",1
28405,"? super T",2
28413,"? super T",2
28417,"? extends T",1
28424,"? super T",2
28430,"? extends T",1
28438,"? super T",2
28458,"? extends T",1
28465,"? super T",2
28472,"? super T",2
28475,"? extends Comparable<? super T>",1
28488,"? super T",2
28495,"? super T",2
28514,"? super T",2
28528,"? super T",2
28542,"? super T",2
28550,"? super U",2
28556,"? super T",2
28558,"? extends U",1
28568,"? super T",2
28570,"? extends U",1
28575,"? super U",2
28584,"? super T",2
28593,"? super T",2
28600,"? super T",2
28608,"? super T",2
28613,"? super T",2
28630,"? super U",2
28634,"? extends U",1
28641,"? extends U",1
28646,"? super U",2
28810,"? super E",2
28835,"? extends E",1
28959,"? super E",2
28984,"? extends E",1
29279,"? super V",2
29281,"? extends V",1
29289,"? super K",2
29342,"? extends K",1
29478,"? super E",2
29533,"? super E",2
29885,"? extends K",1
29887,"? extends V",1
29897,"? super V",2
29908,"? super K",2
29916,"? super V",2
29925,"? super K",2
29957,"? super V",2
29959,"? extends V",1
29967,"? super K",2
30020,"? extends K",1
30074,"? super K",2
30131,"? super E",2
30156,"? extends E",1
30226,"? super E",2
30298,"? extends T",1
30324,"? super T",2
30354,"? extends X",1
30360,"? extends T",1
30373,"? extends Optional<? extends T>",1
30384,"? super T",2
30386,"? extends U",1
30390,"? extends Optional<? extends U>",1
30399,"? extends U",1
30444,"? extends X",1
30480,"? extends X",1
30516,"? extends X",1
30547,"? super Double",2
30589,"? super Long",2
30608,"? super T",2
30912,"? super E",2
30937,"? extends E",1
31146,"? super E",2
31190,"? super V",2
31192,"? extends V",1
31242,"? extends K",1
31287,"? extends E",1
31343,"? super T",2
31464,"? super T",2
31644,"? super E",2
31669,"? extends E",1
31733,"? super K",2
31758,"? extends K",1
31892,"? super V",2
31894,"? extends V",1
31902,"? super K",2
31955,"? extends K",1
32002,"? super V",2
32004,"? extends V",1
32016,"? super K",2
32108,"? extends U",1
32113,"? super U",2
32117,"? extends Entry<K,V>",1
32128,"? extends U",1
32138,"? extends U",1
32143,"? super U",2
32147,"? super Entry<K,V>",2
32179,"? extends U",1
32184,"? super U",2
32195,"? extends U",1
32203,"? extends U",1
32208,"? super U",2
32242,"? extends U",1
32247,"? super U",2
32260,"? extends U",1
32268,"? extends U",1
32273,"? super U",2
32316,"? extends U",1
32321,"? super U",2
32329,"? extends U",1
32337,"? extends U",1
32342,"? super U",2
32586,"? extends K",1
32628,"? extends Callable<T>",1
32643,"? extends Callable<T>",1
32658,"? extends Callable<T>",1
32674,"? extends Callable<T>",1
32923,"? super T",2
32925,"? super U",2
32945,"? super R",2
32947,"? extends V",1
32961,"? super T",2
32976,"? super T",2
32987,"? super T",2
32993,"? super T",2
33071,"? super R",2
33073,"? extends V",1
33082,"? super V",2
33084,"? extends T",1
33233,"? super T",2
33242,"? super T",2
33293,"? super T",2
33301,"? extends T",1
33602,"? extends DoubleStream",1
33619,"? extends U",1
33736,"? extends IntStream",1
33751,"? extends U",1
33869,"? extends LongStream",1
33886,"? extends U",1
33900,"? super T",2
33934,"? extends T",1
33944,"? extends T",1
33954,"? super T",2
34005,"? super T",2
34091,"? super DoubleConsumer",2
34097,"? super LongConsumer",2
34103,"? super IntConsumer",2
34116,"? super Consumer<R>",2
34137,"? extends R",1
34141,"? extends Stream<? extends R>",1
34162,"? extends R",1
34268,"? extends Principal",1
34373,"? super RuntimeException",2
35725,"? extends V",1
35750,"? extends V",1
35782,"? extends V",1
35811,"? extends V",1
37712,"? super T",2
38678,"? extends M",1
38703,"? extends V",1
38707,"? extends M",1
38749,"? extends V",1
38753,"? extends M",1
38775,"? extends V",1
38802,"? extends V",1
38829,"? extends V",1
38872,"? extends V",1
38881,"? extends Vector<Integer>",1
38906,"? extends V",1
38953,"? extends V",1
38986,"? extends V",1
39013,"? extends VM",1
39038,"? extends V",1
39042,"? extends M",1
39065,"? extends VM",1
39069,"? extends M",1
39092,"? extends V",1
39096,"? extends M",1
39114,"? extends V",1
39133,"? extends V",1
39155,"? extends V",1
39159,"? extends M",1
39180,"? extends V",1
39201,"? extends Vector<E>",1
39207,"? extends SH",1
39227,"? extends SH",1
39247,"? extends VM",1
